theme_id,label,lookback_days,horizon_days,obs,first_date,last_date,leader_count,follower_count,pearson_ic,spearman_ic,base_avg_future_pct,top_quintile_avg_future_pct,top_minus_base_pct,avg_lag_gap_pct,event_count,event_avg_after_cost_pct,event_median_after_cost_pct,event_hit_rate,event_threshold_leader_pct,event_threshold_gap_pct,round_trip_cost_pct
memory_hbm,記憶體/HBM/儲存,20,40,5119,2006-06-20,2026-03-26,4,10,0.129599,0.142468,4.624263,8.118108,3.493845,0.120287,468,5.544873,3.885798,0.638889,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,5,20,5156,2006-05-29,2026-04-24,4,10,0.136368,0.128118,2.310504,5.104927,2.794424,0.051543,158,5.536344,2.796072,0.658228,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,10,40,5128,2006-06-07,2026-03-26,4,10,0.122232,0.136084,4.629397,7.963860,3.334463,0.068668,316,5.245994,2.017105,0.604430,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,40,40,5109,2006-07-17,2026-03-24,6,8,0.147642,0.124676,2.664722,5.104289,2.439567,0.794752,836,5.012829,4.387741,0.698565,5.000000,5.000000,0.300000
memory_hbm,記憶體/HBM/儲存,20,20,5140,2006-06-20,2026-04-24,4,10,0.156533,0.150796,2.311959,5.375770,3.063811,0.137669,475,4.919120,2.990206,0.661053,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,10,5,4584,2008-01-15,2026-05-15,8,6,0.077627,0.137216,1.135015,3.534446,2.399431,-0.581148,317,4.913531,0.756079,0.611987,5.000000,5.000000,0.300000
banks_rates_insurance,金融/銀行/保險/利率,10,40,5001,2006-06-06,2026-03-24,8,6,0.016738,-0.022229,1.864082,2.461597,0.597515,0.048148,109,4.842993,3.507633,0.715596,5.000000,5.000000,0.300000
optical_800g_cpo,光通訊/800G/CPO,20,10,4568,2008-01-29,2026-05-08,8,6,0.074488,0.089955,2.192095,5.473490,3.281395,-0.811787,513,4.836837,2.057057,0.641326,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,20,20,4988,2006-06-19,2026-04-23,4,9,0.147474,0.094938,1.989842,5.047865,3.058023,0.615811,515,4.798377,4.184649,0.689320,5.000000,5.000000,0.300000
pcb_abf_ccl,PCB/ABF/CCL,10,20,4998,2006-06-05,2026-04-23,4,9,0.109469,0.085942,1.988512,4.330200,2.341688,0.283998,281,4.669695,4.220464,0.658363,5.000000,5.000000,0.300000
copper_industrial_metals,銅/工業金屬/線纜,20,40,5129,2006-06-19,2026-03-24,6,8,0.093369,0.083160,2.673377,4.756301,2.082924,0.380548,618,4.555763,4.206406,0.674757,5.000000,5.000000,0.300000
