playlist_index,video_id,title,duration_string,url,has_transcript,subtitle_language,topic_tags
29,ibnptqcO-AM,"EVERYTHING You Need to Know About AI, Chips & the Next Tech Supercycle | ARK Invest Tom Staudt",55:00,https://www.youtube.com/watch?v=ibnptqcO-AM,yes,zh-Hant,bitcoin|macro|trading
30,AC5VJj3DCSM,極其稀少！比特幣最後的4.749%！分114年挖出！最後四年只有一顆！【邦妮區塊鏈】,16:19,https://www.youtube.com/watch?v=AC5VJj3DCSM,yes,zh,bitcoin|stablecoin|institutional|tokenization|macro|trading
31,Ei2XTXNPuqU,Understand the Iran War in 20 Minutes! A Lazy Person's Guide to the Century-Old Middle East Confl...,22:30,https://www.youtube.com/watch?v=Ei2XTXNPuqU,yes,zh,stablecoin|institutional|security|macro|trading
32,9R_IYh8SRVs,Anthony Scaramucci: The Iran War Could Break the Global Economy | Anthony Scaramucci,23:15,https://www.youtube.com/watch?v=9R_IYh8SRVs,yes,zh-Hant,bitcoin|institutional|security|macro|trading
33,DhuHBb7RAVU,"Bitcoin Beginner's Guide | How to Buy Bitcoin at the ""Lowest"" Price! Upgraded DCA (Digital Curren...",9:40,https://www.youtube.com/watch?v=DhuHBb7RAVU,yes,zh,bitcoin|stablecoin|tokenization|macro|trading
34,fn0KW379Xkk,比特幣早該15萬？市場爆料有人在壓盤！真相越看越不對勁！【邦妮區塊鏈】#比特幣 #加密貨幣 #BTC,17:57,https://www.youtube.com/watch?v=fn0KW379Xkk,yes,zh,bitcoin|institutional|macro|trading
35,Q-8qcN1--xQ,You Are Using AI Wrong How to Build a 1 Person Company  Yat Siu & Ian Holtz｜Bonnie Blockchain,37:15,https://www.youtube.com/watch?v=Q-8qcN1--xQ,yes,zh-Hant,institutional|tokenization|security|macro|trading
36,Hzm5zYsRqNE,Charles Hoskinson “The AI Revolution Will Unemploy 100 Million Americans.,44:58,https://www.youtube.com/watch?v=Hzm5zYsRqNE,yes,zh-Hant,bitcoin|stablecoin|institutional|macro|trading
37,ynNCLeUMHEg,你其實沒那麼有錢！各年齡平均資產最新數據，90％的人都不及格？ 【邦妮區塊鏈】,18:33,https://www.youtube.com/watch?v=ynNCLeUMHEg,yes,zh,bitcoin|stablecoin|institutional|tokenization|security|macro|trading
38,wpun2s5j0Gw,"We've officially entered the era of the ""elderly wealthy""! Wealth is being reshuffled! Ark Invest...",16:11,https://www.youtube.com/watch?v=wpun2s5j0Gw,yes,zh,macro|trading
39,tBlTgUGPJd4,比特幣最悲觀目標價預測？翻身百年級機會來了！Ark Invest Big Ideas 2026【邦妮區塊鏈】,17:45,https://www.youtube.com/watch?v=tBlTgUGPJd4,yes,zh,bitcoin|stablecoin|institutional|tokenization|macro|trading
40,KnQ7auf93tY,2026 Tech Trends! A once-in-a-century opportunity you can't miss! How much of your labor power is...,18:20,https://www.youtube.com/watch?v=KnQ7auf93tY,yes,zh,bitcoin|tokenization|macro|trading
41,OgO0quREFz0,"On Chain Yield, Hedging, and the Future of Structured Finance | Rene Reinsberg | Bonnie Blockchain",19:52,https://www.youtube.com/watch?v=OgO0quREFz0,yes,zh-Hant,stablecoin|institutional|tokenization|macro|trading
42,uaNJoe-QWig,Are Institutions Still In? 3 Key Forces That Will Decide Crypto’s Fate in 2026  | Michael Lau,31:27,https://www.youtube.com/watch?v=uaNJoe-QWig,yes,zh-Hant,bitcoin|stablecoin|institutional|tokenization|macro|trading
43,QwhV3pxQLNc,你家算有錢嗎？聯準會公布6階級！【邦妮區塊鏈】,19:55,https://www.youtube.com/watch?v=QwhV3pxQLNc,yes,zh,stablecoin|institutional|security|macro
44,BQP28KH4VGw,"The Inventor of Stablecoins Reveals the Truth: USDT, the GENIUS Act & Wall Street vs Crypto",39:59,https://www.youtube.com/watch?v=BQP28KH4VGw,yes,zh-Hant,bitcoin|stablecoin|institutional|tokenization|security|macro|trading
45,jyXYAlWkcmo,Is Alex Honnold really being paid too little by Netflix? Foreign netizens are arguing fiercely! [...,14:06,https://www.youtube.com/watch?v=jyXYAlWkcmo,yes,zh,stablecoin|institutional|security|macro|trading
46,3psh6augfo8,6兆美元即將流入幣圈？市值恐再翻兩倍？CLARITY Act 幣圈大佬背水一戰！【邦妮區塊鏈】,20:43,https://www.youtube.com/watch?v=3psh6augfo8,yes,zh,bitcoin|stablecoin|institutional|tokenization|security|macro|trading
47,G2SgE-QPQDk,"From Oil to AI: Inside the UAE’s Tech Strategy (AI, Blockchain & Stablecoins)|  | Bonnie Blockchain",42:29,https://www.youtube.com/watch?v=G2SgE-QPQDk,yes,zh-Hant,stablecoin|institutional|tokenization|security|macro
48,gAMxkC3IBdU,"The World’s Biggest Crypto YouTuber on Fame, Wealth, and Staying Humble｜Guy Turner｜Bonnie Blockchain",23:40,https://www.youtube.com/watch?v=gAMxkC3IBdU,yes,zh-Hant,bitcoin|trading
49,K9u1fxWMFHg,You Think You’re Following Smart Money. You’re Not | Alex Svanevik | Bonnie Blockchain,34:54,https://www.youtube.com/watch?v=K9u1fxWMFHg,yes,zh-Hant,institutional|tokenization|security|macro|trading
50,krCR1j-gDKk,拼命存錢注定晚年變窮？有錢人致富方法無聊到你撐不住！HOYA BIT創辦人Zoe Peng【邦妮區塊鏈】,1:05:43,https://www.youtube.com/watch?v=krCR1j-gDKk,yes,zh,bitcoin|institutional|security|macro|trading
51,qi_O3dxoyvE,The Captain let me do this... (400K Q&A)| Bonnie Blockchain,23:17,https://www.youtube.com/watch?v=qi_O3dxoyvE,yes,en,bitcoin|macro
52,o9-PReDkMZY,Must-see! The biggest crypto event of 2025! The strongest bull market ever that will wipe you out...,28:28,https://www.youtube.com/watch?v=o9-PReDkMZY,yes,zh,bitcoin|stablecoin|institutional|security|macro|trading
53,XQiUNVQV5yg,頂尖分析師曝：幣圈還不夠悲觀！反彈會發生在這時！2026年趨勢預測！Ben Cowen【邦妮區塊鏈】feat.  @benjaminjcowen,31:41,https://www.youtube.com/watch?v=XQiUNVQV5yg,yes,zh-Hant,bitcoin|macro|trading
54,XuDAL5ijYxc,From Taxi Driver to Bitcoin Whale: The One Strategy Behind His MASSIVE Trades feat. @mmcrypto,28:46,https://www.youtube.com/watch?v=XuDAL5ijYxc,yes,zh-Hant,bitcoin|macro|trading
55,4m6dIZLaoXU,"Perfect Math, Satoshi’s Missing Piece, and the Quantum Threat to Crypto | Eli Ben-Sasson",36:49,https://www.youtube.com/watch?v=4m6dIZLaoXU,yes,en-orig,bitcoin
56,MUumj0w-XDU,Peter Schiff “What Are the Rich 0.1% Doing Before the Next Financial Crisis”｜Bonnie Blockchain,41:45,https://www.youtube.com/watch?v=MUumj0w-XDU,yes,en-orig,bitcoin|tokenization|macro|trading
57,PTvYq0-PIY0,幣安何一：你能賺到的錢，都是認知內的錢｜關於幣安、CZ 趙長鵬，還有那些你沒聽過的故事【邦妮區塊鏈】,1:05:27,https://www.youtube.com/watch?v=PTvYq0-PIY0,yes,zh,general
